id,fecha,monto,tipo
387,2024/07/10,3000,invalid
388,2024/09/14,,debito
389,2024-11-19,,credito
390,2024-12-20,1200,credito
391,09/09/2024,500,credito
392,2024-04-10,1000,debito
393,2024-13-01,800,credito
394,2024/03/14,1500,credito
395,2024-07-09,-200,debito
396,23-05-2024,,debito
397,2024-02-16,700,debito
398,2024-05-09,1000,invalid
399,01/06/2024,1500,credito
400,03/07/2024,1000,debito
401,2024/12/12,700,debito
402,2024/07/16,,credito
403,29-06-2024,500,credito
404,2024-10-13,,credito
405,03-08-2024,1500,credito
406,24/03/2024,700,desconocido
407,2024-09-21,-200,desconocido
408,2024-12-30,-200,debito
409,22/01/2024,800,debito
410,23-11-2024,1500,invalid
411,12-12-2024,-200,debito
412,06-12-2024,1000,invalid
413,2024/10/21,1500,invalid
414,2024-08-07,,debito
415,2024/06/29,,credito
416,2024-11-17,,desconocido
417,2024/06/19,,debito
418,2024-12-28,,credito
419,2024-01-19,800,credito
420,30/05/2024,1000,credito
421,09-09-2024,-200,credito
422,2024-09-09,-200,credito
423,2024/08/28,800,invalid
424,2024/11/12,700,credito
425,09/01/2024,1200,invalid
426,2024-08-28,800,credito
427,2024/12/27,,invalid
428,2024-08-09,700,debito
429,2024-09-27,,invalid
430,2024-05-07,1000,invalid
431,2024/05/04,-200,desconocido
432,30-06-2024,1000,debito
433,2024-11-18,1500,invalid
434,2024/05/03,1500,desconocido
435,2024/11/20,,credito
436,21-08-2024,-100,debito
437,2024/02/28,,credito
438,2024-10-18,1500,invalid
439,15-03-2024,1200,credito
440,28/07/2024,,invalid
441,2024-12-04,1000,debito
442,06-08-2024,1200,debito
443,11/05/2024,,credito
444,2024-04-19,1200,desconocido
445,2024-13-01,1200,debito
446,2024-07-11,700,invalid
447,08-02-2024,1000,credito
448,08-06-2024,,debito
449,2024/05/19,-200,credito
450,2024/03/07,1500,debito
451,02/07/2024,700,invalid
452,31/05/2024,700,credito
453,2024-13-01,800,invalid
454,2024-10-23,-200,debito
455,29/02/2024,800,invalid
456,18-10-2024,1200,invalid
457,26/03/2024,1200,credito
458,02-10-2024,-100,debito
459,31/01/2024,1000,credito
460,21-08-2024,0,invalid
461,2024-13-01,700,invalid
462,2024-13-01,1500,invalid
463,2024/04/01,-100,debito
464,2024/07/24,1000,debito
465,2024-03-04,700,credito
466,2024/11/30,,credito
467,2024-04-30,1500,credito
468,17-03-2024,-200,debito
469,2024/12/03,1000,invalid
470,2024/09/19,,debito
471,04/12/2024,1000,desconocido
472,2024-13-01,,invalid
473,15/08/2024,700,invalid
474,2024-13-01,1200,invalid
475,2024/12/28,0,invalid
476,2024/07/06,,invalid
477,09-07-2024,800,credito
478,06/07/2024,0,credito
479,07-12-2024,,invalid
480,2024/06/09,700,debito
481,15/09/2024,-100,credito
482,2024-02-04,800,invalid
483,2024-11-07,1000,credito
484,2024-04-15,700,credito
485,17-11-2024,1000,desconocido
486,17-09-2024,800,invalid
487,04-01-2024,800,credito
488,11/12/2024,,debito
489,15/11/2024,3000,debito
490,26/07/2024,700,invalid
491,2024/03/31,,credito
492,2024/11/07,-200,invalid
493,2024-08-29,0,invalid
494,26-11-2024,-200,debito
495,18/11/2024,1500,credito
496,2024/09/14,,invalid
497,2024/04/20,-200,desconocido
498,2024-13-01,1500,invalid
499,16-05-2024,1200,credito
500,2024/04/24,,invalid
