id,fecha,monto,tipo
95,22/12/2024,1000,credito
96,2024/12/18,800,credito
97,17/08/2024,500,debito
98,2024-07-05,1200,invalid
99,2024/03/09,-200,credito
100,15-06-2024,,debito
101,12-05-2024,800,debito
102,13-11-2024,-200,debito
103,2024/04/02,1500,credito
104,2024-04-16,1000,credito
105,2024-12-13,3000,invalid
106,2024/01/21,1000,credito
107,16/01/2024,700,invalid
108,2024/02/28,-200,invalid
109,2024-09-15,1200,invalid
110,05/07/2024,800,debito
111,25-09-2024,1000,credito
112,2024-03-07,800,credito
113,21/07/2024,1500,credito
114,01-02-2024,700,invalid
115,2024/07/20,700,debito
116,2024-10-03,1500,invalid
117,10-11-2024,700,credito
118,27/08/2024,,invalid
119,06-12-2024,,debito
120,21-09-2024,-200,credito
121,2024/08/19,700,debito
122,2024-08-26,800,invalid
123,2024/05/27,3000,debito
124,2024/08/22,,invalid
125,2024/01/29,-200,credito
126,2024/03/11,800,debito
127,2024-04-09,700,invalid
128,2024-07-26,1500,invalid
129,14-11-2024,700,invalid
130,2024/07/24,1200,debito
131,2024-07-25,1000,debito
132,2024-12-10,0,invalid
133,21-07-2024,500,invalid
134,2024/04/06,800,credito
135,02/03/2024,,debito
136,2024/10/27,0,invalid
137,17-06-2024,1200,desconocido
138,2024-13-01,1000,invalid
139,2024-09-16,700,debito
140,22/08/2024,1200,debito
141,14/07/2024,3000,debito
142,19-11-2024,3000,debito
143,2024-09-29,700,credito
144,30/12/2024,3000,debito
145,2024/01/01,1200,debito
146,01-07-2024,,debito
147,2024/03/29,3000,credito
148,2024-03-30,1000,invalid
149,02/11/2024,3000,desconocido
150,2024-13-01,1500,debito
151,2024-12-18,3000,credito
152,25/10/2024,1500,invalid
153,2024/07/28,1000,credito
154,2024-03-04,800,credito
155,22/12/2024,-200,desconocido
156,2024-03-02,1500,debito
157,2024-08-17,3000,debito
158,26-05-2024,500,debito
159,01/09/2024,1200,debito
160,03/08/2024,1500,invalid
161,28/07/2024,1500,credito
162,11-12-2024,3000,debito
163,30-11-2024,3000,desconocido
164,04-03-2024,3000,invalid
165,2024-08-30,1000,invalid
166,2024/04/06,800,credito
167,23/02/2024,,credito
168,2024-10-24,1200,credito
169,2024/03/05,800,invalid
170,2024/09/07,1200,invalid
171,14-05-2024,,debito
172,2024-02-07,0,debito
173,24-08-2024,-100,debito
174,2024-10-26,,invalid
175,24-09-2024,1500,invalid
176,2024-06-07,1000,invalid
177,22/10/2024,3000,debito
178,2024/05/17,3000,credito
179,2024/07/11,3000,credito
180,28/05/2024,1000,desconocido
181,2024/09/08,800,invalid
182,2024/03/02,800,credito
183,21-01-2024,3000,credito
184,01-11-2024,1500,debito
185,2024-13-01,1000,debito
186,2024-01-04,3000,invalid
187,2024/05/25,800,debito
188,2024/03/15,500,debito
189,2024-01-17,800,invalid
190,26/07/2024,1500,debito
191,26-07-2024,,invalid
192,2024-09-19,700,debito
193,2024-01-16,1500,invalid
194,2024/12/29,-200,credito
195,13-06-2024,800,debito
196,08-08-2024,-200,credito
197,18-02-2024,1200,credito
198,2024-12-04,800,debito
199,01/06/2024,700,invalid
200,2024/10/13,,invalid
201,15-11-2024,-200,credito
202,09-01-2024,,debito
203,2024-13-01,1200,debito
204,2024/04/16,1200,debito
205,07-08-2024,1000,invalid
206,2024/11/20,3000,debito
207,08/02/2024,3000,debito
208,2024/01/29,,invalid
209,2024-13-01,1200,debito
210,2024/02/09,700,debito
211,2024-04-18,800,invalid
212,23/04/2024,1200,debito
213,30/07/2024,3000,debito
214,2024/04/15,,desconocido
215,01/03/2024,1500,debito
216,2024-03-05,-200,desconocido
217,2024-03-16,700,credito
218,2024/02/16,1200,credito
219,2024-09-28,0,credito
220,28/08/2024,500,credito
221,19-06-2024,1200,invalid
222,2024-03-10,-100,debito
223,2024/10/01,3000,credito
224,2024/12/20,500,credito
225,2024/04/01,,desconocido
226,2024/04/29,-200,debito
227,25-04-2024,800,debito
228,2024-07-12,1500,invalid
229,22-10-2024,,invalid
230,13/01/2024,-100,invalid
231,2024/12/25,0,invalid
232,04/02/2024,1500,invalid
233,15-06-2024,1000,debito
234,2024/07/03,-200,credito
235,07-04-2024,800,invalid
236,2024-06-29,1000,debito
237,21-02-2024,1200,debito
238,2024/10/09,1200,credito
239,04-03-2024,800,debito
240,2024-06-17,3000,debito
241,07/03/2024,1000,credito
242,24-07-2024,,credito
243,2024/10/17,800,debito
244,2024-07-23,3000,desconocido
245,02-06-2024,800,credito
246,10-02-2024,1200,debito
247,13/05/2024,,debito
248,10-12-2024,,invalid
249,19/06/2024,1200,invalid
250,2024/02/09,1200,debito
