id,fecha,monto,tipo
864,2024-10-31,0,credito
865,2024/05/29,-200,credito
866,08-02-2024,800,debito
867,12-03-2024,-200,invalid
868,2024/11/20,,invalid
869,2024/09/26,3000,credito
870,2024-06-23,1200,desconocido
871,27-07-2024,3000,debito
872,2024-04-01,-200,debito
873,2024-12-23,,credito
874,2024-12-20,-200,invalid
875,01/09/2024,,invalid
876,2024/06/27,700,credito
877,19-03-2024,,credito
878,2024-01-08,,invalid
879,2024/07/05,,debito
880,14-01-2024,800,credito
881,06/11/2024,-100,invalid
882,2024-07-08,,credito
883,2024/04/03,-200,invalid
884,08-01-2024,800,credito
885,29/05/2024,1000,debito
886,2024-12-27,1200,debito
887,19-02-2024,3000,credito
888,2024/12/25,,debito
889,2024/10/10,1500,debito
890,2024/02/29,3000,debito
891,2024/12/24,3000,invalid
892,2024-06-05,500,debito
893,2024-11-06,1000,invalid
894,30/10/2024,,credito
895,04-11-2024,1500,credito
896,2024-13-01,1500,debito
897,04/05/2024,3000,credito
898,12/12/2024,500,debito
899,14-12-2024,1500,credito
900,2024/01/19,1000,debito
901,2024/06/22,-200,invalid
902,30/01/2024,1200,invalid
903,29-10-2024,1500,debito
904,28/05/2024,700,debito
905,11/02/2024,1000,debito
906,19/01/2024,,invalid
907,2024-05-29,1200,debito
908,2024/02/27,700,debito
909,2024-13-01,800,credito
910,08/08/2024,3000,invalid
911,29-09-2024,700,debito
912,10/10/2024,1000,debito
913,06/04/2024,500,invalid
914,09/07/2024,700,credito
915,2024/01/21,-200,invalid
916,2024-12-24,700,invalid
917,2024-13-01,800,credito
918,22-01-2024,-200,invalid
919,2024/05/31,1500,credito
920,30-05-2024,800,debito
921,24/09/2024,,credito
922,29/04/2024,1200,debito
923,20-12-2024,,desconocido
924,30-10-2024,,debito
925,04/11/2024,,credito
926,2024-01-23,700,invalid
927,2024-13-01,,credito
928,2024/04/14,1500,invalid
929,06-07-2024,800,debito
930,17/01/2024,800,credito
931,08-12-2024,,debito
932,2024/11/22,1500,debito
933,01-08-2024,-200,invalid
934,02/08/2024,,credito
935,26/08/2024,1000,invalid
936,2024-06-11,1500,credito
937,07-03-2024,500,debito
938,08-10-2024,800,invalid
939,2024-04-20,-200,debito
940,09/12/2024,1000,credito
941,14-01-2024,,invalid
942,15/03/2024,1500,credito
943,19-02-2024,-200,credito
944,2024/07/20,,credito
945,13/08/2024,-100,credito
946,04/06/2024,3000,credito
947,02/06/2024,0,credito
948,24/07/2024,-200,credito
949,15-09-2024,1000,desconocido
950,2024/10/14,1000,debito
951,2024-06-07,3000,invalid
952,30-11-2024,-200,credito
953,23-06-2024,3000,credito
954,2024/02/10,1000,invalid
955,2024/01/02,700,credito
956,2024/12/01,,credito
957,30/12/2024,700,invalid
958,2024/07/25,1200,credito
959,2024-06-25,-200,invalid
960,2024/03/29,-200,invalid
961,20-10-2024,-200,invalid
962,2024/08/11,-200,debito
963,25-10-2024,-200,credito
964,2024-07-27,1200,debito
965,2024/08/12,3000,invalid
966,19-09-2024,3000,credito
967,22-06-2024,500,credito
968,05-05-2024,-100,credito
969,2024/04/15,3000,invalid
970,2024-02-14,3000,invalid
971,2024-03-04,-200,credito
972,03/12/2024,1000,invalid
973,2024-13-01,,debito
974,02/08/2024,1200,debito
975,2024-04-07,1200,desconocido
976,2024-02-09,800,invalid
977,2024-05-21,3000,invalid
978,2024/04/08,1500,invalid
979,22-11-2024,-200,credito
980,2024-06-22,700,invalid
981,20/01/2024,-200,debito
982,2024-06-08,,invalid
983,2024-05-23,1500,invalid
984,07/05/2024,,debito
985,2024/09/06,700,credito
986,13/05/2024,700,invalid
987,13/10/2024,,debito
988,11-12-2024,1200,invalid
989,22-08-2024,800,debito
990,2024-04-27,1500,debito
991,2024-04-08,0,debito
992,15/03/2024,1000,credito
993,2024-13-01,700,invalid
994,2024-06-09,700,invalid
995,2024-02-08,-200,credito
996,23-07-2024,700,debito
997,2024-06-14,-200,invalid
998,14-01-2024,,invalid
999,19/06/2024,1500,debito
1000,30-12-2024,1500,credito
